Modules	H2	H3	H4	J2	J3	J4	J5	J6	L1	L2	L3	L4	L5	L6	M1	M2	M3	M4	M5	M6	N1	N2	N3	N4	N5	N6	O1	O2	O3	O4	O6	R1	R2	R3	R4	R5	R6	S1	S2	S4	S5	T1	T2	T3	T4	T5	V1	V2	V3	V4	V5	V6	Z2	Z3	Z4	Z5
M00166_Reductive pentose phosphate cycle to glyceraldehyde-3P	4196.18	3419.45	3847.39	5255.55	7001.13	7622.34	5540.74	6604.5	6590.85	6093.92	3567.8	5998.6	5331.72	6100.48	4170.97	5607.18	4846.58	4455.29	4342.29	5268.93	4665.72	4364.29	4914.53	4240.32	6090.42	4431.61	6092.17	5658.82	5007.81	3693.12	4459.04	3169.98	3632.41	3432.55	2431	3707.15	2415.65	2744.35	3465.93	3138.54	2972.7	4918.94	4908.46	4623	5315.18	4639.25	5137.31	4386.05	4663.25	4739.67	4442.45	5322.76	4968.67	4908.81	4749.37	4373.83
M00167_Reductive pentose phosphate cycle to ribulose-5P	18254.36	11353.89	17268.63	16959.45	22512.92	23074.07	16282.34	22984.6	29505.08	34962.73	13622.13	21958.08	24795.18	18267.78	16925.12	28302.54	20462.22	11077.95	11526.99	14311.93	12393.22	21306.95	14930.49	11616.58	21363.31	14070.87	21980.59	18992.25	17488.78	12520.91	19862.42	11348.35	13490.05	16715.14	8304.69	14460.37	7980.28	11274.39	20580.5	12489.87	16113.84	27563.21	22926.34	28230.92	28399.2	22536.55	20513.88	21893.66	19717.54	18134.84	19192.88	29414.6	30659.05	25179.02	23846.02	22843.58
M00168_CAM, dark	1442.15	1300.35	1455.65	2531.44	2660.56	2184.71	2238.82	1470.06	4127.61	2927.05	2227.6	3565.31	2823.41	3870.2	1422.48	1224.57	1194.77	1718.74	1731.7	1699.06	1417.51	1574.02	1541.69	879.58	1879.31	1348.89	3828.46	3909.16	2745.18	2246.58	2108.49	1817.96	2269.62	2100.85	1021.58	2618.96	834.16	1088.9	1124.62	1056.24	1498.62	1642.63	1789.77	1759.93	1332.67	1606.88	2609.58	1786.3	2732	2573.61	2218.28	2047.45	1686.89	1958.43	1897.44	2011.36
M00169_CAM, light	3341.85	1960.1	3182.22	2776.4	3272.34	3344.16	2886.15	3102.35	4122.8	3728.94	2373.44	2513.73	2995.57	1646.66	3857.74	4695.19	3976.5	3955.07	3843.41	4217.4	1899.15	3696.49	2262.86	1815.39	2860.66	2275.7	3655.21	3736.96	2064.08	2235.98	2984.09	2030.49	2665.13	2711.76	1651.82	2757.86	1199.85	1955.68	2351.29	2250.35	2261.89	3368.58	3846.6	4026.08	4063.42	3450.73	3066.98	3083.7	3588.23	2866.82	3436.61	3665.65	3521.29	3895.4	3660.94	3448.47
M00170_C4-dicarboxylic acid cycle, PEP carboxykinase type	1674.32	1658.15	1633.89	2361.3	3060.85	3079.56	2098.99	3012.44	3476.93	2979.71	1747.14	3054.99	2612.5	3553.82	1142.13	1761.49	1493.09	735.46	850.33	948.33	1904.65	1986.78	1787.17	1021.97	2884.06	1777.22	2744.42	2665.66	2286.74	1577.49	1807.5	1623.34	1589.6	1564.38	1125.61	1808.36	1176.95	1187.67	1511.1	1201.69	1412.49	2007.59	1877.02	2364.26	1978.01	1791.39	2759.35	1957.88	2125.16	2605.56	1896.64	2561.69	2351.22	2138.27	1982.58	2013.98
M00171_C4-dicarboxylic acid cycle, NAD - malic enzyme type	2444.08	1575.94	2285.22	4187.41	5536.78	5228.22	3934.16	4156.88	3342.06	3133.08	1796.82	1979.36	2502.88	1946.78	1963.56	2814.46	2282.74	1663.21	1662.04	1979.51	1842.6	2760.85	2818.6	1896.7	4295.68	2151.25	2341.19	2242.97	1472.49	1372.34	1898.09	1473.46	1707.28	1648.02	1155.02	1692.7	1015.25	1390.87	1719.24	1569.26	1505.92	2484.83	2761.29	2974.64	3218.83	2498.12	2503.27	2209.11	2224.85	2346.99	2080.95	2698.38	2387	2722.01	2485.55	2130.09
M00172_C4-dicarboxylic acid cycle, NADP - malic enzyme type	3445.99	2186.14	3242.47	4580.21	5699.56	5360.9	4361.37	4333.71	4781.2	4179.36	2673.08	2884.88	3416.25	2563.99	3863.59	4706.73	3981.86	3957.47	3846.89	4223.27	2364.5	3779.95	3196.76	2203.24	4493.95	2700.95	3827.36	3855.53	2213.75	2264.59	3029.22	2287.12	2824.53	2777.74	1703.24	2989.49	1406.95	1988.5	2376.55	2267.23	2276.61	3382.09	3848.05	4027.41	4066.17	3454.86	3538.91	3119.62	3705.63	3282.94	3465.2	3726.59	3525.39	3901.78	3678.68	3451.19
M00173_Reductive citrate cycle (Arnon-Buchanan cycle)	29913.42	19217.84	29085.53	26897.74	31751.55	34247.37	26460.73	27924.14	41743.12	36709.59	22847.07	39271.68	31711.01	34446.69	31253.76	43004.48	33578.99	27635.76	27537.55	30362.2	23547.35	34729.01	24328.73	20140.25	26186.53	22533	43944.42	42780.39	33479.07	27191.98	30566.71	20770.47	26032.78	27126.13	15579.69	28335.13	13625.87	17219.01	21220.75	19452.07	20594.46	34520.37	41571.55	41606.93	43364.58	36657.17	29809.25	29115.02	34434.57	27835.77	32522.67	37001.4	35454.8	41628.22	38599.45	35229.33
M00174_Methane oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00175_Nitrogen fixation	323.83	2.28	309.06	12.22	289.19	632.77	106.73	170.23	906.18	1411.32	359.06	385.58	676.02	127.97	217.63	506.38	425.06	202.93	220.26	283.48	47.31	329.83	146.15	28.15	14.75	8.3	380.36	271.76	216.1	213.33	568.54	190.95	304.96	436.8	81.76	272	77.76	124.16	506.26	97.48	366.56	892.55	666.72	738.62	641.31	719.71	201.23	363.35	274.45	153.62	236.39	542.75	1402.16	827.32	802.93	944.8
M00176_Assimilatory sulfate reduction	3920.77	2263.06	3706.9	1340.49	763.77	686.59	1550.09	861.57	5058.11	4247.44	3028.5	3050.14	3354.51	2268.31	3383.38	3749.29	3541.06	4460.51	4336.93	4816.5	1826.94	4253.92	1499.2	1280.63	1038.88	2172.93	4854.19	5113.46	2612.58	3058.66	3441.01	2495.08	3581.78	3608.08	1587.11	3734.75	1538.54	2069.75	2683.27	2495.24	2777.1	3272.03	3777.93	4405.4	3536.02	3365.33	2596.03	3207.56	3904.67	3079.98	3351.13	3647.56	3845.6	4069.9	3558.18	3882.17
M00178_Ribosome, bacteria	102688.8	83135.62	96276.65	137866.19	180265.62	184938.63	140435.45	172598.72	173262.33	159598.94	92314.58	159599.36	140392.55	159313.92	103045.15	134709.1	121229.3	92496.05	92526.52	108197.74	107990.02	109303.13	114375.31	91451.62	159900.28	105921.18	159717.35	148835.56	132579.4	97223.24	116823.37	80638.69	95117.82	90617.96	60998.81	97456.47	57076.65	70033.42	88396.99	80272.38	76559.8099999999	130292.91	132583.68	123558.32	141721.28	125923.41	137643.98	115291.3	124272.9	125371.32	118256.81	140393.12	135299.99	134284.46	129499.56	119298.86
M00179_Ribosome, archaea	59656.54	47249.21	56011.7	79241.14	103174.62	105834.5	80761.92	97145.98	101724.38	94326.32	53781.72	92561.17	82261.68	91700.13	59884.2	78730.03	70584.8	53685.45	53748.74	62952.76	62311.21	63535.09	65574.13	52499.99	90298.11	60262.33	92578.28	86237.37	76831.89	56343.32	68313.5	47111.76	54940.71	52723.75	35964.77	56411.52	33564.31	41124	52309.65	47021.15	45225.1099999999	77230.11	78041.52	72859.23	83774.14	74238.62	79655.09	66850.25	71927.25	72561.4	68440.11	81392.99	80264.67	79005.38	76126.3	70270.57
M00180_RNA polymerase II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00181_RNA polymerase III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00182_RNA polymerase I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00183_RNA polymerase, bacteria	8409.47	6283.45	7740.37	9758.69	13028.4	13598.13	10377.3	13561.94	12436.23	11897.36	6416.26	12407.23	10244.49	13007.64	7956.12	11816.64	9495.92	6720.06	6710.95	7958.79	8054.77	9185.35	8327.94	6847.05	12278.93	8026.26	11276.34	10226.37	10228.81	6823.31	8182.82	5952.65	6505.77	6467.04	4294.41	6851.05	4292.03	5021.93	6624.84	6018.99	5316.09	10036.08	10954.33	10489.48	12424.99	10164.08	10472.76	8731.72	9010.11	9348.12	8668.45	10905.43	9956.23	10777.6	9971.03	8539.73000000001
M00184_RNA polymerase, archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00185_Sulfate TS	544.95	725.8	441.73	279.28	459.14	483.57	449.62	560.43	76.64	36.9	273.53	88.57	79.15	577.26	1470.82	2392.98	2709.37	858.26	919.41	994.78	463.13	646.98	719.85	604.42	751.67	871.51	33.11	79.55	54.8	54	148.69	307.12	303.39	147.49	287.96	182.07	467.83	223.02	221.42	209.23	143.22	197.11	288.21	443.41	367.54	210.7	447.68	495.27	294.96	426.64	430.31	633.71	148.9	327.4	274.69	147.49
M00186_Tungstate TS	252.63	0	184.72	0	0	0	0.16	0.18	0	0	0	0.57	0	0	121.3	91.6	121.07	184.21	142.65	135.38	0	231.03	0	0	0	0.48	317.59	165.9	76.32	76.02	111.45	79.32	171.33	62.37	35.04	130.29	221.73	55.59	75.21	166.89	56.16	124.41	47.37	65.55	61.32	32.4	24.39	119.52	43.47	136.32	44.61	172.23	96.99	92.7	79.2	121.05
M00188_NitT/TauT family TS	13787.76	3890.07	12360.03	14468.79	21796.43	22112.34	13360.18	14541	14208.82	19049.34	5392.14	9425.38	12088.87	6535.02	10423.63	17619.05	12022.48	8952.53	8586.15	10463.09	6392.45	15884.95	10979.13	7478.45	14531.94	6930.56	9061.12	6636.43	7626.61	5177.6	10765.89	4205.4	6021.94	7851.05	3222.75	5641.05	3182.98	5157.3	10907.14	6912.15	7109.93	14742.34	13341.72	18430.64	17240.28	12255.67	10670.4	11571.56	9211.85	8468.13	10108.48	16645.8	17004.8	13559.64	11913.27	12057.98
M00189_Molybdate TS	3751.22	1521.27	3545.73	6439.84	8878.54	8766.62	5598.15	4730.69	6602.65	8039.99	2860.58	6377.83	5892.77	5246.6	5503.68	8193.81	6791.02	3990.7	3983.05	4972.41	3328.98	4116.93	4967.19	3477.6	5495.73	2730.07	5958.13	5043.03	5842.36	3774.87	5840.04	3063.63	2841.74	3985.5	2585.89	3470.67	2778.28	2893.2	4861.84	3051.32	3773.69	6861.44	5591.66	6071.37	6281.86	5464.62	5172.88	5103.32	4913.89	4201.82	5351.12	7343.11	8023.87	5371.9	5615.05	5898.94
M00190_Iron(III) TS	6912.23	1647.57	6365.7	393.65	328.95	545.69	1398.29	1644.69	13726.32	20052.75	4065.76	10762.95	12263.62	7167.28	7601.01	15229.02	8877.52	5049.4	5303.4	6790.77	1308.25	8642.15	843.56	1020.32	1550.9	1608.23	8469.79	6124.47	8659.32	4703.01	10549.09	2629.21	2493.91	6664.78	1260.73	4139.63	1258.83	3230.64	10544.55	3614.53	7382.17	15635.79	13104.28	16693.02	17779.95	12774.43	4574.27	6781.14	5346.1	3253.89	5205.87	11442.04	18351.9	11919.38	10494.26	11478.38
M00191_Thiamine TS	27.24	436.17	23.76	167.67	275.4	290.22	270.06	336.27	44.64	22.72	163.41	53.37	48.37	352.56	0.78	0.69	2.58	0.27	1.02	10.65	282.12	51.57	447.03	362.43	449.55	521.64	18.54	46.77	27.18	32.4	2.63	176.44	38.19	19.59	150.63	53.61	275.37	77.1	74.07	44.22	38.35	915.4	1473.44	534.93	1899.49	1308.41	17.13	36.72	10.65	40.38	11.61	19.14	164.22	746.77	415.06	73.05
M00192_Putative thiamine TS	27.24	431.37	23.28	162.18	266.64	286.59	255.33	327.99	41.76	22.14	152.91	51.66	47.49	336.33	0.24	0.21	0.57	0.27	1.02	10.65	257.67	50.07	342.66	361.11	430.95	521.04	18.54	45.81	27.18	32.4	1.38	168.6	37.59	17.67	145.89	52.53	275.37	77.1	74.07	44.22	37.83	29.82	3.6	1.23	4.29	2.49	17.13	36.72	10.65	40.38	11.61	19.14	7.86	17.61	0.42	0.75
M00193_Putative spermidine/putrescine TS	2691.75	705.01	2321.2	597.4	1365.38	2918.88	1056.07	1476.06	2954.84	4368.37	1672.05	1737.45	3316.87	1486.99	3627.12	8154.8	4069.7	2537.8	2579.14	3611.44	2023.02	3203.43	2317.17	2544.7	955.29	1346.08	1779.68	1573.66	1299.81	1078.73	2019.97	718	1081.75	1576.48	392.54	1035.64	528.68	1068.74	2561.84	1462.07	1842.81	4830.8	5585.27	5581.08	7469.25	4986.4	1383.5	2035.64	1376.96	1112.29	1493.02	3536.71	4861.52	4996.61	4652.69	3580.59
M00194_Maltose/maltodextrin TS	4141.25	1898.29	3835.26	5944.65	8150.94	7051.62	5721.07	5517.42	4254.77	5499.11	1971.97	2112.09	3459.23	2195.4	3146.11	5907.52	3725.06	1719.32	1820.72	2424.41	2073.16	5164.16	3809.82	2662.77	6386.49	3007.11	1812.18	1386.61	1398.7	983.1	2481.11	2168.28	1491.86	1993.72	2060.52	1539.73	2344.67	2049.09	3375.38	2278.26	2266.04	4192.55	4177.15	6061.8	5689.42	3731.27	3673.4	3536.09	2583.1	3048.72	2746.05	4932.73	4424.75	4121.82	3365.55	2941.64
M00196_Raffinose/stachyose/melibiose TS	25015.96	4449.72	22756.02	24022.62	32329.09	27555.84	20284.69	20836.94	17459.11	22956.35	6216.56	8178.28	13298.91	5694.4	14157.86	30792.01	20742.02	6570.13	7353.29	10105.33	7407.22	29006.9	13411.83	7645.75	23846.07	8089.63	6896.56	5048.06	5239.75	3121.43	10177.91	11474.26	10351.34	12370.51	12563.18	9057.8	12430.14	13068.35	19615.2	14608.18	11842.92	20860.83	15416.42	25408.92	21403.29	15095.33	29632.27	28386.46	19669.7	24977.3	23970.84	40429.7	20944.2	15377.17	16043.23	14079.37
M00197_Putative fructooligosaccharide TS	3922.83	1420.19	3631.05	9213.35	12450.24	10501.78	8148.48	7295.16	6222.2	8486.36	2229.37	2731.76	4893.99	1858.69	3981.53	8068.23	4834.9	2068	2225.52	3020.98	2156.8	4808.95	4872.13	2685.81	8715.26	2802.66	2469.28	1721.8	1808.83	1218.9	3795.1	1967.29	1613.22	2039.46	1912.08	1579.41	1993.83	2319.18	4468.92	2521.21	3281	5996.13	4457.01	6847.17	6135.75	4384.53	5016.85	4333.37	3132.29	4068.66	3429.02	6318.11	6788.94	4315.9	4196.14	4320.43
M00198_Putative sn-glycerol-phosphate TS	5707.12	887.84	5194.72	559.13	491.1	1020.56	758.6	869.38	9612.95	14266.31	2662.26	3543.97	7517.27	1309.72	3717.98	8190.09	4213.23	2014.14	2243.06	3046.51	623.48	7610.54	1541.26	1053.12	765.37	1247.47	3576.86	2239.97	2351.34	1595.14	6329.88	1237.27	1177.85	3030.29	559.13	1935.65	726.68	1824.81	7064.76	2179.84	5271.57	9246.32	7643.61	13070.5	10108.99	6991.06	2350.2	3116.39	2248.4	1859.82	2041.56	5325.34	12616.23	7765.18	6336.04	7739.09
M00199_L-Arabinose/lactose TS	2178.26	8.76	1732.02	18.92	85.01	8.94	6.4	11.79	734.65	1079.55	167.91	247.4	528.22	62.05	2892.91	6917.34	4182.78	774.42	984.62	1385.55	452.96	2683.88	42.27	32.04	51.82	30.98	253.68	139.41	170.76	97.04	469.53	175.93	348.62	508.51	113.51	334.41	53.04	382.55	850.23	599.66	599.83	1310.93	2046.73	3398.88	2733.43	1551.61	985.24	1254.22	813.09	763.31	1076.44	2177.32	1729.8	2274.67	2469.6	1653.31
M00200_Putative sorbitol/mannitol TS	4114.01	1466.92	3811.98	5782.47	7884.3	6765.03	5465.74	5189.43	4213.01	5476.97	1819.06	2060.43	3411.74	1859.07	3145.87	5907.31	3724.49	1719.05	1819.7	2413.76	1815.49	5114.09	3467.16	2301.66	5955.54	2486.07	1793.64	1340.8	1371.52	950.7	2479.73	1999.68	1454.27	1976.05	1914.63	1487.2	2069.3	1971.99	3301.31	2234.04	2228.21	4162.73	4173.55	6060.57	5685.13	3728.78	3656.27	3499.37	2572.45	3008.34	2734.44	4913.59	4416.89	4104.21	3365.13	2940.89
M00201_alpha-Glucoside TS	4104.89	1257.93	3804.22	5721.56	7787.08	6663.8	5380.18	5079.18	4199.09	5469.59	1768.09	2043.21	3395.91	1746.96	3145.74	5907.2	3724.28	1718.94	1819.36	2410.21	1719	5097.4	3327.04	2180.53	5783.88	2293.85	1787.46	1325.53	1362.46	939.9	2479.27	1943.48	1441.74	1970.16	1865.93	1469.69	1977.51	1946.29	3276.62	2219.3	2215.6	4152.75	4172.28	6060.16	5683.7	3727.95	3650.56	3487.13	2568.9	2994.88	2730.57	4907.21	4414.2	4098.13	3364.9	2940.5
M00202_Oligogalacturonide TS	7654.67	261.76	7024.2	33.64	34.62	22.8	10.44	4.76	4047.18	6036.15	928.02	1384.89	3000.12	273.54	2062.79	3856.37	1733.87	1016.75	1221.6	1515.71	43.24	10710.31	105.58	3.04	118.76	80.04	1392.09	790.62	887.58	558	2630.91	978.88	921.59	2886.67	272.61	1641.6	322.08	927.7	3724.66	1391.93	2464.28	5051.18	8738.55	14360.88	11814.55	6663.44	1014.47	2509.35	1891.89	716.01	1572.37	4321.32	6308.55	8745.36	4665.56	4051.47
M00203_Glucose/arabinose TS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00204_Trehalose/maltose TS	483.15	209.47	431.05	62.22	97.22	102.49	85.88	110.25	14.88	7.38	50.97	17.6	15.83	114.97	512.88	1230.42	567.67	117.86	149.99	212.63	96.49	681.53	140.12	121.13	172.89	196.63	7.64	16.23	11.64	10.8	1.21	65.67	55.3	38.63	61.5	39.21	94.67	91.32	97.31	140.74	68.24	177.19	505.07	804.29	667.47	344.63	161.76	184.08	110.99	130.22	159.05	340.7	204.13	563.47	488.29	253.44
M00205_N-Acetylglucosamine TS	2415.82	243.07	2291.01	5238.79	7006.12	5761.96	4157.54	3359.4	1703.27	2434.89	824.42	970.3	1592.26	476.17	2068.55	3012.47	2095.54	845.48	916.07	1395.87	656.77	2889.77	2322.1	775.26	4437.37	762.18	880.92	665	970.94	710.06	1589.68	1210.6	1352.28	865.4	1600.97	705.79	1598.97	1365.8	1763.96	1406.48	1234.3	1969.01	2008.19	3362.74	2769.07	1752.86	1432.24	1402.88	1001.37	1112.96	1101.25	1568.21	2329.84	2494.58	2051.66	1659.04
M00206_Cellobiose TS	6212.93	1258.73	5721.71	5724.33	7787.08	6665.9	5381.3	5079.18	4214.07	5505.56	1768.09	2081.32	3445.17	1764.14	4167.83	8241.64	4786.93	1991.04	2175.67	2916.13	1726.35	7967.63	3336.55	2180.53	5785.93	2303.65	1832.23	1341.7	1386.17	948.54	2505.21	1966.66	1528.03	2039.72	1898.23	1530.38	1983.75	2176.45	3834.67	2822.68	2449.23	4638.61	5931.58	8849.57	8002.3	4919.1	3963.01	3856.25	2796.74	3244.32	3072.27	5537.58	4974.92	5986.2	4660.38	3599.6
M00207_Putative multiple sugar TS	26904.42	7367.31	23214.36	21420.64	29597.26	25316.92	19512.63	23366.97	32003.91	42633.15	11102.57	15180.31	25327.23	11872.54	22009.4	40740.78	29097.91	11203.66	12150.82	17035.72	10781.42	30178.47	13117.11	7799.57	24852.84	11255.14	13293.83	9095.82	11393.76	7568.45	20811.04	10357.08	12919.21	15819	8223.94	11726.46	8574.29	11441.98	25604.6	13631.16	16325.25	28017.92	18455.03	31653.69	25939.21	18685.26	25010.8	25238.33	18273.3	20899.65	19950.58	37241.73	33279.4	18988.8	19709	21144.15
M00208_Glycine betaine/proline TS	1514.19	3338.1	1724	1371.84	834.66	968.41	1456.27	3392.78	5023.35	3364.71	2576.64	1645.15	2412.69	1376.14	1566.69	1368.59	1277.28	2085.04	2104.71	2330.39	2571.15	1828.19	1713.68	1485.98	2602.93	3194.96	1740.77	2390.57	2161.69	2513.09	2273.84	1539.39	2059.3	2177.11	1177.53	2066.6	1022.23	1457.31	1311.9	1290.33	2010.69	2265.89	2000.41	1929.61	1357.77	1647.33	1527.49	1610.57	2243.53	1612.34	1748.68	2098.94	1697.8	2991.82	2411.12	2293.14
M00209_Osmoprotectant TS	2670.58	3990.94	2479.11	6320.21	9271.84	9244.34	6166.61	10234.69	2934.82	2465.25	1760.86	1821.98	2097.7	3817.82	740.49	1178.93	1126.61	408.05	412.9	556.02	3851.15	3655.4	5188.04	4014.07	9387.9	5251.85	1064.09	745.91	719.37	373.72	577.33	1284.07	1041.57	572.44	453.11	1040.62	924.88	704.4	803.84	1029.45	621.98	1742.5	3981.09	4398.32	5204.73	3041.29	1957.09	566.38	758.46	1691.64	443.32	577.19	1226.8	3902.89	2370.57	1121.37
M00210_Phospholipid TS	3110.74	2123.01	2935.46	1432.85	672.92	609.12	1463.11	754.14	4351.98	3154.47	2951.84	5958.36	3391.71	5203.87	3469.75	3654.03	3204.53	5503.75	5233.74	5784.46	2824	3137.15	1467.05	1206.27	905.78	1997.5	6838.7	6734.63	5528.91	4359.7	4105.89	2716.41	3571.54	3491.84	1819.24	4051.1	1574.41	1962.52	2058.25	2171.9	2572.08	3252.09	4055.22	3707.76	3115.97	3647.83	3098.66	2966.25	4466.57	3055.16	4130.63	3335.99	4356.54	4675.75	4441.5	4737.53
M00211_Putative ABC TS (A)	869.06	2773.02	740.62	1177.3	720.04	1143.28	1212.64	3424.6	1077.3	1674	1665	1508.06	1506.04	1064.82	860.26	567.96	684.32	727.51	764.94	636.97	2676.58	771.89	1958.66	2349.66	2512.52	2948.74	2749.65	2645.04	1304.96	1535.32	1354.54	1362.42	1878.28	1854.14	889.98	2062.32	569.86	998.58	980.26	816.98	1470.62	1228.42	1265	1335.06	1045.78	1368.76	1526.62	1720.08	2334.9	1735.74	1951.06	1929.8	1170.84	1525	1436.9	1427.18
M00212_Ribose TS	13134.09	1587.7	12964.26	1155.69	3151.56	5191.74	1736.42	2108.63	26607.08	36863.56	10318.93	13050.74	21841.31	7946.43	10375.8	22683.92	15289.63	5789.73	6281.34	8454.35	2911.41	15639.11	3308.14	3075.42	1699.1	2453.33	12541.63	9067.45	8892.96	6101.78	16249.63	10272.2	7092.1	13223.75	9477.59	8834.77	9500.64	10133.21	20281.3	10527.64	14479.48	23706.53	14032.78	21858.4	19550.61	15084.08	16896.5	19589.36	14147.87	14295.49	15293.61	28576.3	28939.92	14731.25	15200.41	18062.78
M00213_L-Arabinose TS	255.77	431.69	234.52	162.34	266.64	286.59	255.81	328.35	1389.86	2033.32	459.91	511.01	1046.21	413.2	324.2	777.37	408.98	187.25	221.12	331.25	257.95	380.59	343.32	361.11	432.59	523	473.81	309.35	323.04	218.4	877.6	178.06	69.11	36.79	166.47	106.5	284.73	223.51	803.99	157.36	712.7	1186.96	608.42	1172.08	843.43	666.26	205.69	60.08	22.94	209.04	23.92	56.6	1574.62	571.62	527.43	875.83
M00214_Methyl-galactoside TS	6204.81	531.73	5547.28	517.28	1233.8	679.55	377.04	423.62	7737.93	10951.24	2492.37	3072.71	6380.26	1694.59	4999.48	9103.71	6209.97	2030.98	2361.01	3481.67	469.53	7936.48	809.94	596.79	777.49	1147.73	3120.53	2031.99	2565.65	1866.22	5381.43	1059.4	2001.81	2797.18	595.91	1825.46	574.41	2225.05	6076.99	2880.34	4321.51	8994.13	8427.38	11699.83	11451.2	7753.87	4724.22	5116.77	3552.18	3963.88	3996.72	7517.34	9700.82	7482.75	5828.12	5969.75
M00215_D-Xylose TS	272.26	333.47	271.45	117.05	257.86	286.17	94.98	315.51	1416.65	2069.88	465.36	518.1	1060.85	414.16	345.5	843.33	540.41	292.69	292.73	389.57	171.31	320	324.05	183.75	382.61	249.06	498.04	315.99	326.06	220.42	907.27	382.39	251.69	663.77	209.85	435.14	348.81	253.15	1027.92	148.81	705.84	1186.73	377.82	791.58	594.15	525.41	304.22	603.1	435.23	256.74	361.11	997.98	1573.62	317.03	443.09	877.13
M00216_Multiple sugar TS	572.61	7.32	529.53	6.34	84.73	2.78	4.64	10.47	4255.06	6359.64	965.72	1521.75	3186.1	270.26	966.64	2549.38	1625.32	691.45	745.54	1027.03	17.85	609.61	37.21	5.1	36.25	15.46	1519.31	829.81	944.95	588.55	2739.12	468.71	555.45	1388.25	181.28	855.59	161.28	581.14	2730.21	386.04	2048.85	3515.11	1074.78	2331.47	1669.36	1579.11	1248.49	1532.9	1124.16	1059.96	1091.08	2387.25	4691.01	888.74	1384.99	2566.52
M00217_D-Allose TS	127.97	376.69	127.05	146.31	333.82	372.35	69.58	413.79	730.05	1035.4	358.16	298.65	563.12	486.64	171.91	382.85	219.44	108.82	121.92	182.91	216.28	170.59	400.92	210.24	469.45	305.32	252.72	192.85	184.17	136.2	440.2	331.53	155.76	345.89	225.59	258.71	403.64	190.27	569.13	109.35	380.09	594.51	181.73	382.16	287.3	257.13	163.93	326.55	222.92	158	187.23	506.39	773.66	147.52	206.56	414.58
M00218_Fructose TS	0.74	0	2.93	0	0	0	0	0	0	0	0	0	0	0	14.98	9.56	11.99	2.75	6.21	8.41	0	2.34	0	0	0	0	0	0	0	0	0	0	1.26	0.6	0.56	2.49	0	0.37	2.85	1.43	0.53	0	0	0	0	0	2.36	4.96	3.57	3.76	2.89	8.55	0	0	0	0
M00219_AI-2 TS	223.16	266.36	205.52	34.24	34.32	25.56	35.36	10.12	4.48	0.58	15.56	2.66	0.88	8.6	33.95	31.87	32.26	37.16	30.03	20.9	71.12	231.19	212.68	21.32	126.16	75.8	1.46	1.28	0	0	1.5	204.98	183.84	627.58	46.46	332.29	63.84	39.28	230.47	26.14	2.11	16.51	17.57	15.78	71.88	23.4	100.7	546.7	415.97	50.94	339.97	949.93	25.33	13.73	7.44	9.6
M00220_Rhamnose TS	457.88	261.6	789.33	27.84	33.5	22.8	3.32	4.58	3584.33	5182.4	987.16	1362.76	2604.48	281.79	813.79	2228.94	1431.8	568.86	632.61	882.92	43.1	676.52	105.93	3.04	117.14	79.82	1232.97	803.45	837.65	476.52	2225.12	1519.47	261.04	648.25	2055.9	575.53	2114.28	1285.27	2392.17	926.91	1979.07	2870.22	1129.34	2320.87	1620.44	1418.72	649.29	383.91	274.96	551.12	257.91	635.66	3860.63	1008.65	1160.77	2121.42
M00221_Putative simple sugar TS	12514.36	4603.82	11699.79	17980.51	24630.05	23563.47	16402.4	17454.28	17517.15	23594.38	6772.35	12103.98	14784.33	10675.02	9418.3	18283.69	12789.1	6079.66	6308.15	8505.78	6255.28	15430.2	13172.33	8094.2	18392.83	8537.08	9538.92	6985.07	9164.26	5405.62	11830.86	6825.55	5725.87	9899.89	5104.66	7094.4	5758.06	6408.76	13798.22	7307.49	9325.63	16561.51	13594.63	20115.11	18430.28	12831.4	12333.52	13508	10395.56	10092.22	11000.15	20123.37	19982.33	14249.61	12657.92	13059.61
